materia,curso_id,tipo_evaluacion_id,trimestre_id,titulo,descripcion,porcentaje_nota_final,fecha_registro
Matemáticas,1,3,7,PARTICIPACION 1,Participación en Matemáticas,1,2023-03-31
Matemáticas,1,3,7,PARTICIPACION 2,Participación en Matemáticas,1,2023-02-23
Matemáticas,1,3,7,PARTICIPACION 3,Participación en Matemáticas,1,2023-04-30
Matemáticas,1,3,7,PARTICIPACION 4,Participación en Matemáticas,1,2023-03-30
Matemáticas,1,3,7,PARTICIPACION 5,Participación en Matemáticas,1,2023-03-06
Matemáticas,1,3,8,PARTICIPACION 1,Participación en Matemáticas,1,2023-05-06
Matemáticas,1,3,8,PARTICIPACION 2,Participación en Matemáticas,1,2023-07-05
Matemáticas,1,3,8,PARTICIPACION 3,Participación en Matemáticas,1,2023-07-03
Matemáticas,1,3,8,PARTICIPACION 4,Participación en Matemáticas,1,2023-07-24
Matemáticas,1,3,8,PARTICIPACION 5,Participación en Matemáticas,1,2023-05-13
Matemáticas,1,3,9,PARTICIPACION 1,Participación en Matemáticas,1,2023-10-05
Matemáticas,1,3,9,PARTICIPACION 2,Participación en Matemáticas,1,2023-12-18
Matemáticas,1,3,9,PARTICIPACION 3,Participación en Matemáticas,1,2023-10-16
Matemáticas,1,3,9,PARTICIPACION 4,Participación en Matemáticas,1,2023-12-19
Matemáticas,1,3,9,PARTICIPACION 5,Participación en Matemáticas,1,2023-10-07
Lenguaje,1,3,7,PARTICIPACION 1,Participación en Lenguaje,1,2023-04-19
Lenguaje,1,3,7,PARTICIPACION 2,Participación en Lenguaje,1,2023-03-06
Lenguaje,1,3,7,PARTICIPACION 3,Participación en Lenguaje,1,2023-03-27
Lenguaje,1,3,7,PARTICIPACION 4,Participación en Lenguaje,1,2023-03-12
Lenguaje,1,3,7,PARTICIPACION 5,Participación en Lenguaje,1,2023-04-19
Lenguaje,1,3,8,PARTICIPACION 1,Participación en Lenguaje,1,2023-07-13
Lenguaje,1,3,8,PARTICIPACION 2,Participación en Lenguaje,1,2023-05-14
Lenguaje,1,3,8,PARTICIPACION 3,Participación en Lenguaje,1,2023-08-04
Lenguaje,1,3,8,PARTICIPACION 4,Participación en Lenguaje,1,2023-05-09
Lenguaje,1,3,8,PARTICIPACION 5,Participación en Lenguaje,1,2023-06-18
Lenguaje,1,3,9,PARTICIPACION 1,Participación en Lenguaje,1,2023-11-30
Lenguaje,1,3,9,PARTICIPACION 2,Participación en Lenguaje,1,2023-11-28
Lenguaje,1,3,9,PARTICIPACION 3,Participación en Lenguaje,1,2023-12-12
Lenguaje,1,3,9,PARTICIPACION 4,Participación en Lenguaje,1,2023-12-04
Lenguaje,1,3,9,PARTICIPACION 5,Participación en Lenguaje,1,2023-10-04
Ciencias Naturales,1,3,7,PARTICIPACION 1,Participación en Ciencias Naturales,1,2023-04-01
Ciencias Naturales,1,3,7,PARTICIPACION 2,Participación en Ciencias Naturales,1,2023-04-13
Ciencias Naturales,1,3,7,PARTICIPACION 3,Participación en Ciencias Naturales,1,2023-04-12
Ciencias Naturales,1,3,7,PARTICIPACION 4,Participación en Ciencias Naturales,1,2023-02-26
Ciencias Naturales,1,3,7,PARTICIPACION 5,Participación en Ciencias Naturales,1,2023-03-05
Ciencias Naturales,1,3,8,PARTICIPACION 1,Participación en Ciencias Naturales,1,2023-07-22
Ciencias Naturales,1,3,8,PARTICIPACION 2,Participación en Ciencias Naturales,1,2023-08-14
Ciencias Naturales,1,3,8,PARTICIPACION 3,Participación en Ciencias Naturales,1,2023-08-11
Ciencias Naturales,1,3,8,PARTICIPACION 4,Participación en Ciencias Naturales,1,2023-06-15
Ciencias Naturales,1,3,8,PARTICIPACION 5,Participación en Ciencias Naturales,1,2023-08-14
Ciencias Naturales,1,3,9,PARTICIPACION 1,Participación en Ciencias Naturales,1,2023-11-13
Ciencias Naturales,1,3,9,PARTICIPACION 2,Participación en Ciencias Naturales,1,2023-11-02
Ciencias Naturales,1,3,9,PARTICIPACION 3,Participación en Ciencias Naturales,1,2023-11-25
